CustomerKey,GeographyKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,DateFirstPurchase,CommuteDistance,Region,Age ,BikeBuyer 
11000,26,Jon,V,Yang,4/8/66,M,M,jon24@adventure-works.com,90000,2,0,Bachelors,Professional,1,0,7/22/05,1-2 Miles,Pacific,46,1
11001,37,Eugene,L,Huang,5/14/65,S,,eugene10@adventure-works.com,60000,3,3,Bachelors,Professional,0,1,7/18/05,0-1 Miles,Pacific,47,1
11002,31,Ruben, ,Torres,8/12/65,M,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Professional,1,1,7/10/05,2-5 Miles,Pacific,47,1
11003,11,Christy, ,Zhu,2/15/68,S,F,christy12@adventure-works.com,,0,0,Bachelors,Professional,0,1,7/1/05,5-10 Miles,Pacific,44,1
11004,19,Elizabeth, ,Johnson,8/8/68,S,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,7/26/05,1-2 Miles,Pacific,44,1
11005,22,Julio, ,Ruiz,8/5/65,S,M,julio1@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,7/2/05,5-10 Miles,Pacific,47,1
11006,8,Janet,G,Alvarez,12/6/65,S,F,janet9@adventure-works.com,70000,0,0,Bachelors,Professional,,1,7/27/05,5-10 Miles,Pacific,46,1
11007,40,Marco, ,Mehta,5/9/64,M,M,marco14@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,7/12/05,0-1 Miles,Pacific,48,1
11008,32,Rob, ,Verhoff,7/7/64,S,F,rob4@adventure-works.com,60000,4,4,Bachelors,Professional,1,3,7/28/05,10+ Miles,Pacific,48,1
11009,25,Shannon,C,Carlson,4/1/64,S,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Professional,0,,7/30/05,5-10 Miles,Pacific,48,1
11010,22,Jacquelyn,C,Suarez,2/6/64,S,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7/17/05,5-10 Miles,Pacific,48,1
